receipt_no,trx_date,product_name,qty,subtotal,payment_method
DOM-VAR-202501-0017,"2025-01-15 10:43:00","Bang Nana Yoghurt",3,92000,DEBIT
DOM-VAR-202501-0017,"2025-01-15 10:43:00","French Fries & Sausage",2,39000,DEBIT
DOM-VAR-202501-0018,"2025-01-21 09:27:00","Caramel Latte",1,25000,CASH
DOM-VAR-202501-0018,"2025-01-21 09:27:00","Caramel Latte",3,74500,CASH
DOM-VAR-202501-0019,"2025-01-23 18:19:00","Chick N' Matah Rice",3,81500,CASH
DOM-VAR-202501-0019,"2025-01-23 18:19:00","Pisang Gorengnya DOM",3,60000,CASH
DOM-VAR-202501-0020,"2025-01-10 12:29:00","Violet Kalamansi",1,22000,CASH
DOM-VAR-202501-0020,"2025-01-10 12:29:00","Al Fresco Nachos",2,46000,CASH
DOM-VAR-202501-0021,"2025-01-21 17:26:00","Spaghetti Bolognese",2,49500,CASH
DOM-VAR-202501-0021,"2025-01-21 17:26:00","French Fries & Sausage",1,19500,CASH
DOM-VAR-202501-0022,"2025-01-23 16:44:00","Tropical Punch",2,48500,DEBIT
DOM-VAR-202501-0023,"2025-01-01 14:19:00","Spaghetti Carbonara",3,81500,QRIS
DOM-VAR-202501-0023,"2025-01-01 14:19:00","Espresso On The Rock",2,39000,QRIS
DOM-VAR-202501-0024,"2025-01-12 21:07:00","Strawberry Tea",2,39000,DEBIT
DOM-VAR-202501-0024,"2025-01-12 21:07:00","French Fries & Sausage",3,58500,DEBIT
DOM-VAR-202501-0025,"2025-01-17 12:07:00","Double Shaken Espresso",2,45000,QRIS
DOM-VAR-202501-0026,"2025-01-04 10:05:00","Kampoeng Fried Rice",2,49500,CASH
DOM-VAR-202501-0027,"2025-01-06 09:56:00","Al Fresco Nachos",2,46000,DEBIT
DOM-VAR-202501-0027,"2025-01-06 09:56:00","Chick N' Matah Rice",2,54500,DEBIT
DOM-VAR-202501-0028,"2025-01-08 20:59:00","Mayo Karaage Rice",1,31000,CASH
DOM-VAR-202501-0029,"2025-01-20 21:38:00","Choco Loco",1,25000,DEBIT
DOM-VAR-202501-0029,"2025-01-20 21:38:00",Americano,3,46000,DEBIT
DOM-VAR-202501-0030,"2025-01-20 15:22:00","Spaghetti Bolognese",2,49500,CASH
DOM-VAR-202501-0030,"2025-01-20 15:22:00","Matcha Green Tea",3,88500,CASH
DOM-VAR-202501-0031,"2025-01-10 17:56:00","Berry Berry Good!",1,29500,QRIS
DOM-VAR-202501-0031,"2025-01-10 17:56:00","Bang Nana Yoghurt",2,61500,QRIS
DOM-VAR-202501-0032,"2025-01-19 15:29:00",Muppet,3,88500,DEBIT
DOM-VAR-202501-0033,"2025-01-24 18:50:00","Kopi Latte",2,39000,QRIS
DOM-VAR-202501-0033,"2025-01-24 18:50:00","Sunset Sangria",1,24500,QRIS
DOM-VAR-202501-0034,"2025-01-10 19:37:00","Al Fresco Nachos",1,23000,QRIS
DOM-VAR-202501-0034,"2025-01-10 19:37:00","Beef Aglio Olio",3,74500,QRIS
DOM-VAR-202501-0035,"2025-01-27 17:13:00",Muppet,1,29500,CASH
DOM-VAR-202501-0035,"2025-01-27 17:13:00","Oriental Fried Rice",1,25000,CASH
DOM-VAR-202501-0036,"2025-01-12 12:51:00","French Fries & Sausage",2,39000,QRIS
DOM-VAR-202501-0036,"2025-01-12 12:51:00","Al Fresco Nachos",1,23000,QRIS
DOM-VAR-202501-0037,"2025-01-11 15:30:00",Muppet,3,88500,CASH
DOM-VAR-202501-0038,"2025-01-07 15:19:00","Taro Latte With Egg Pudding",3,74500,DEBIT
DOM-VAR-202501-0039,"2025-01-06 19:12:00","Ham Spaghetti Brulee",2,59000,DEBIT
DOM-VAR-202501-0039,"2025-01-06 19:12:00","Taro Latte With Egg Pudding",1,25000,DEBIT
DOM-VAR-202501-0040,"2025-01-04 20:32:00","DOMS Wings",2,46000,CASH
DOM-VAR-202501-0041,"2025-01-20 16:31:00","DOM's Original",3,58500,QRIS
DOM-VAR-202501-0042,"2025-01-26 18:05:00","Taro Latte With Egg Pudding",1,25000,DEBIT
DOM-VAR-202501-0042,"2025-01-26 18:05:00","Spaghetti Carbonara",3,81500,DEBIT
DOM-VAR-202501-0043,"2025-01-25 17:52:00","Double Shaken Espresso",3,67500,QRIS
DOM-VAR-202501-0043,"2025-01-25 17:52:00","Kampoeng Fried Rice",3,74500,QRIS
DOM-VAR-202501-0044,"2025-01-06 19:54:00","Candy Cane",2,60000,CASH
DOM-VAR-202501-0045,"2025-01-09 18:15:00","Oriental Fried Rice",3,74500,QRIS
DOM-VAR-202501-0046,"2025-01-26 21:26:00","Sunset Sangria",3,72500,DEBIT
DOM-VAR-202501-0046,"2025-01-26 21:26:00","Spaghetti Bolognese",1,25000,DEBIT
DOM-VAR-202501-0047,"2025-01-08 13:04:00","Pisang Gorengnya DOM",1,20000,CASH
DOM-VAR-202501-0047,"2025-01-08 13:04:00","Kopi Latte",1,19500,CASH
DOM-VAR-202501-0048,"2025-01-27 15:18:00","Al Fresco Nachos",1,23000,QRIS
DOM-VAR-202501-0048,"2025-01-27 15:18:00","Taro Latte With Egg Pudding",1,25000,QRIS
DOM-VAR-202501-0049,"2025-01-11 20:12:00","Ham Spaghetti Brulee",2,59000,CASH
DOM-VAR-202501-0049,"2025-01-11 20:12:00",Muppet,2,59000,CASH
DOM-VAR-202501-0050,"2025-01-27 16:35:00",Americano,2,31000,CASH
DOM-VAR-202501-0050,"2025-01-27 16:35:00","Sunset Sangria",1,24500,CASH
DOM-VAR-202501-0051,"2025-01-22 16:51:00","Spaghetti Carbonara",3,81500,DEBIT
DOM-VAR-202501-0051,"2025-01-22 16:51:00","Sub's Choice",2,54500,DEBIT
DOM-VAR-202501-0052,"2025-01-26 17:42:00",Americano,3,46000,CASH
DOM-VAR-202501-0052,"2025-01-26 17:42:00","Sunset Sangria",3,72500,CASH
DOM-VAR-202501-0053,"2025-01-03 15:39:00","Caramel Latte",1,25000,QRIS
DOM-VAR-202501-0053,"2025-01-03 15:39:00","Lemon Tea",2,39000,QRIS
DOM-VAR-202501-0054,"2025-01-12 10:33:00","DOM's Original",3,58500,QRIS
DOM-VAR-202501-0054,"2025-01-12 10:33:00","Violet Kalamansi",3,65500,QRIS
DOM-VAR-202501-0055,"2025-01-21 18:27:00","Sub's Choice",1,27500,CASH
DOM-VAR-202501-0056,"2025-01-11 11:23:00","Salted Egg Pop Chicken",1,35000,CASH
DOM-VAR-202501-0057,"2025-01-18 14:31:00",Muppet,1,29500,DEBIT
DOM-VAR-202501-0057,"2025-01-18 14:31:00","French Fries & Sausage",1,19500,DEBIT
DOM-VAR-202501-0058,"2025-01-03 16:25:00","Cheese Croquette Balls",1,19500,DEBIT
DOM-VAR-202501-0058,"2025-01-03 16:25:00","Salted Egg Pop Chicken",2,69500,DEBIT
DOM-VAR-202501-0059,"2025-01-22 11:42:00","Oriental Fried Rice",3,74500,DEBIT
DOM-VAR-202501-0059,"2025-01-22 11:42:00","Strawberry Tea",3,58500,DEBIT
DOM-VAR-202501-0060,"2025-01-09 09:30:00","Kampoeng Fried Rice",2,49500,DEBIT
DOM-VAR-202501-0060,"2025-01-09 09:30:00","Strawberry Tea",2,39000,DEBIT
DOM-VAR-202501-0061,"2025-01-07 13:12:00","Lemon Tea",1,19500,CASH
DOM-VAR-202501-0061,"2025-01-07 13:12:00",Chocolate,3,64000,CASH
DOM-VAR-202501-0062,"2025-01-13 15:06:00","Kampoeng Fried Rice",3,74500,CASH
DOM-VAR-202501-0062,"2025-01-13 15:06:00","Pisang Gorengnya DOM",2,40000,CASH
DOM-VAR-202501-0063,"2025-01-21 17:45:00","Chick N' Matah Rice",1,27500,QRIS
DOM-VAR-202501-0063,"2025-01-21 17:45:00","Kampoeng Fried Rice",3,74500,QRIS
DOM-VAR-202501-0064,"2025-01-20 10:17:00","Candy Cane",2,60000,CASH
DOM-VAR-202501-0065,"2025-01-03 09:40:00",Chocolate,1,21500,CASH
DOM-VAR-202501-0065,"2025-01-03 09:40:00","Scottish Latte",1,25000,CASH
DOM-VAR-202501-0066,"2025-01-14 10:41:00","Lychee Tea",2,39000,CASH
DOM-VAR-202501-0067,"2025-01-03 13:57:00","DOMS Wings",2,46000,DEBIT
DOM-VAR-202501-0068,"2025-01-26 18:45:00","Kampoeng Fried Rice",2,49500,DEBIT
DOM-VAR-202501-0068,"2025-01-26 18:45:00","Berry Berry Good!",2,59000,DEBIT
DOM-VAR-202501-0069,"2025-01-10 16:15:00","Mayo Karaage Rice",1,31000,CASH
DOM-VAR-202501-0069,"2025-01-10 16:15:00","DOM's Original",3,58500,CASH
DOM-VAR-202501-0070,"2025-01-27 11:47:00","Kampoeng Fried Rice",1,25000,CASH
DOM-VAR-202501-0071,"2025-01-25 17:59:00","Lemon Tea",2,39000,CASH
DOM-VAR-202501-0072,"2025-01-28 13:53:00","Pisang Gorengnya DOM",2,40000,QRIS
DOM-VAR-202501-0072,"2025-01-28 13:53:00","Lemon Tea",3,58500,QRIS
DOM-VAR-202501-0073,"2025-01-11 13:36:00","Sub's Choice",2,54500,QRIS
DOM-VAR-202501-0074,"2025-01-21 14:05:00","DOM's Original",2,39000,DEBIT
DOM-VAR-202501-0074,"2025-01-21 14:05:00","Scottish Latte",3,74500,DEBIT
DOM-VAR-202501-0075,"2025-01-21 17:04:00","Salted Caramel Macchiato",3,85000,DEBIT
DOM-VAR-202501-0075,"2025-01-21 17:04:00","DOM's Original",3,58500,DEBIT
DOM-VAR-202501-0076,"2025-01-20 19:45:00","DOMS Wings",3,69000,QRIS
DOM-VAR-202501-0076,"2025-01-20 19:45:00","Sunset Sangria",2,48500,QRIS
DOM-VAR-202501-0077,"2025-01-27 14:29:00","French Fries & Sausage",3,58500,QRIS
DOM-VAR-202501-0078,"2025-01-01 17:29:00","Lychee Tea",2,39000,CASH
DOM-VAR-202501-0079,"2025-01-07 21:49:00","Lemon Tea",1,19500,CASH
DOM-VAR-202501-0080,"2025-01-13 10:17:00","Red Velvet",1,22000,QRIS
DOM-VAR-202501-0080,"2025-01-13 10:17:00","Berry Berry Good!",1,29500,QRIS
DOM-VAR-202501-0081,"2025-01-11 13:28:00","Tropical Punch",1,24500,CASH
DOM-VAR-202501-0082,"2025-01-15 15:57:00","Espresso On The Rock",2,39000,CASH
DOM-VAR-202501-0083,"2025-01-17 17:04:00",Saltovino,2,52000,QRIS
DOM-VAR-202501-0084,"2025-01-18 15:58:00",Chocolate,1,21500,CASH
DOM-VAR-202501-0085,"2025-01-17 17:09:00","Pisang Gorengnya DOM",3,60000,QRIS
DOM-VAR-202501-0086,"2025-01-25 15:08:00","Berry Berry Good!",1,29500,DEBIT
DOM-VAR-202501-0086,"2025-01-25 15:08:00","Pisang Gorengnya DOM",3,60000,DEBIT
DOM-VAR-202501-0087,"2025-01-12 19:36:00","Espresso On The Rock",3,58500,DEBIT
DOM-VAR-202501-0088,"2025-01-25 16:13:00","Scottish Latte",2,49500,QRIS
DOM-VAR-202501-0089,"2025-01-15 15:41:00","Scottish Latte",3,74500,QRIS
DOM-VAR-202501-0090,"2025-01-14 13:58:00","Bang Nana Yoghurt",2,61500,QRIS
DOM-VAR-202501-0091,"2025-01-09 17:56:00","Choco Loco",2,49500,QRIS
DOM-VAR-202501-0091,"2025-01-09 17:56:00","Double Shaken Espresso",1,22500,QRIS
DOM-VAR-202501-0092,"2025-01-24 21:14:00","Bloody Mary",2,48500,CASH
DOM-VAR-202501-0093,"2025-01-01 17:41:00","Cheese Croquette Balls",1,19500,DEBIT
DOM-VAR-202501-0093,"2025-01-01 17:41:00","Violet Kalamansi",1,22000,DEBIT
DOM-VAR-202501-0094,"2025-01-08 18:18:00","DOMS Wings",2,46000,DEBIT
DOM-VAR-202501-0095,"2025-01-23 21:17:00","Lychee Tea",1,19500,QRIS
DOM-VAR-202501-0096,"2025-01-15 10:51:00","DOM's Original",2,39000,DEBIT
DOM-VAR-202501-0096,"2025-01-15 10:51:00","Cheese Croquette Balls",2,39000,DEBIT
DOM-VAR-202501-0097,"2025-01-24 11:20:00","French Fries & Sausage",2,39000,CASH
DOM-VAR-202501-0098,"2025-01-04 09:48:00","Lemon Tea",3,58500,DEBIT
DOM-VAR-202501-0098,"2025-01-04 09:48:00","Bloody Mary",2,48500,DEBIT
DOM-VAR-202501-0099,"2025-01-02 20:03:00",Saltovino,3,78000,QRIS
DOM-VAR-202501-0099,"2025-01-02 20:03:00","DOM's Original",3,58500,QRIS
DOM-VAR-202501-0100,"2025-01-11 13:12:00","French Fries & Sausage",1,19500,CASH
DOM-VAR-202501-0101,"2025-01-23 17:00:00","French Fries & Sausage",2,39000,CASH
DOM-VAR-202501-0102,"2025-01-22 15:59:00","Spaghetti Bolognese",2,49500,DEBIT
DOM-VAR-202501-0103,"2025-01-28 17:23:00","DOM's Original",1,19500,CASH
DOM-VAR-202501-0104,"2025-01-05 20:12:00","Al Fresco Nachos",2,46000,CASH
DOM-VAR-202501-0104,"2025-01-05 20:12:00","Lychee Tea",1,19500,CASH
DOM-VAR-202501-0105,"2025-01-15 21:07:00","Pisang Gorengnya DOM",1,20000,QRIS
DOM-VAR-202501-0105,"2025-01-15 21:07:00","Red Velvet",2,44000,QRIS
DOM-VAR-202501-0106,"2025-01-21 19:52:00",Chocolate,3,64000,CASH
DOM-VAR-202501-0106,"2025-01-21 19:52:00","Strawberry Tea",3,58500,CASH
DOM-VAR-202501-0107,"2025-01-09 21:46:00","Roti Bakar",1,15500,DEBIT
DOM-VAR-202501-0107,"2025-01-09 21:46:00","Sub's Choice",3,81500,DEBIT
DOM-VAR-202501-0108,"2025-01-28 11:33:00","Pisang Gorengnya DOM",2,40000,DEBIT
DOM-VAR-202501-0109,"2025-01-25 19:40:00","Pisang Gorengnya DOM",2,40000,CASH
DOM-VAR-202501-0109,"2025-01-25 19:40:00","Mayo Karaage Rice",3,92000,CASH
DOM-VAR-202501-0110,"2025-01-24 21:09:00","Chick N' Matah Rice",1,27500,DEBIT
DOM-VAR-202501-0111,"2025-01-21 10:08:00","Ham Spaghetti Brulee",3,88500,QRIS
DOM-VAR-202502-0112,"2025-02-12 21:11:00","Cheese Croquette Balls",2,132000,CASH
DOM-VAR-202502-0112,"2025-02-12 21:11:00","Pisang Gorengnya DOM",1,68000,CASH
DOM-VAR-202502-0113,"2025-02-26 12:43:00","Red Velvet",2,148000,CASH
DOM-VAR-202502-0113,"2025-02-26 12:43:00","Tropical Punch",3,246000,CASH
DOM-VAR-202502-0114,"2025-02-12 13:02:00","Bloody Mary",3,246000,CASH
DOM-VAR-202502-0114,"2025-02-12 13:02:00","Scottish Latte",3,252000,CASH
DOM-VAR-202502-0115,"2025-02-05 21:13:00","Caramel Latte",2,168000,CASH
DOM-VAR-202502-0116,"2025-02-06 10:14:00","Salted Caramel Macchiato",3,288000,QRIS
DOM-VAR-202502-0116,"2025-02-06 10:14:00","Strawberry Tea",1,66000,QRIS
DOM-VAR-202502-0117,"2025-02-28 21:32:00","Roti Bakar",1,52000,CASH
DOM-VAR-202502-0117,"2025-02-28 21:32:00","Chick N' Matah Rice",1,92000,CASH
DOM-VAR-202502-0118,"2025-02-19 18:14:00","Cheese Croquette Balls",1,66000,QRIS
DOM-VAR-202502-0118,"2025-02-19 18:14:00","Bloody Mary",1,82000,QRIS
DOM-VAR-202502-0119,"2025-02-14 16:25:00","Scottish Latte",3,252000,CASH
DOM-VAR-202502-0120,"2025-02-16 21:10:00","DOMS Wings",1,78000,QRIS
DOM-VAR-202502-0121,"2025-02-08 17:51:00","Chick N' Matah Rice",1,92000,QRIS
DOM-VAR-202502-0121,"2025-02-08 17:51:00","Salted Egg Pop Chicken",1,118000,QRIS
DOM-VAR-202502-0122,"2025-02-09 16:16:00","Lychee Tea",3,198000,DEBIT
DOM-VAR-202502-0123,"2025-02-14 18:32:00",Lotus,1,100000,CASH
DOM-VAR-202502-0124,"2025-02-04 09:27:00","Mr. P! Nuts",2,204000,QRIS
DOM-VAR-202502-0124,"2025-02-04 09:27:00","Taro Latte With Egg Pudding",3,252000,QRIS
DOM-VAR-202502-0125,"2025-02-22 09:43:00","Candy Cane",3,306000,CASH
DOM-VAR-202502-0125,"2025-02-22 09:43:00","Taro Latte With Egg Pudding",1,84000,CASH
DOM-VAR-202502-0126,"2025-02-24 17:36:00","Churro Bites",2,132000,QRIS
DOM-VAR-202502-0127,"2025-02-12 09:09:00","Violet Kalamansi",3,222000,CASH
DOM-VAR-202502-0128,"2025-02-27 10:18:00","Kopi Latte",3,198000,DEBIT
DOM-VAR-202502-0129,"2025-02-27 10:42:00","Cheese Croquette Balls",1,66000,CASH
DOM-VAR-202502-0130,"2025-02-16 21:58:00","Lemon Tea",2,132000,QRIS
DOM-VAR-202502-0130,"2025-02-16 21:58:00","Mayo Karaage Rice",3,312000,QRIS
DOM-VAR-202502-0131,"2025-02-23 17:24:00","Matcha Green Tea",1,100000,DEBIT
DOM-VAR-202502-0131,"2025-02-23 17:24:00","Strawberry Tea",1,66000,DEBIT
DOM-VAR-202502-0132,"2025-02-28 20:02:00","Taro Latte With Egg Pudding",2,168000,CASH
DOM-VAR-202502-0132,"2025-02-28 20:02:00","Al Fresco Nachos",2,156000,CASH
DOM-VAR-202502-0133,"2025-02-14 21:26:00","Salted Egg Pop Chicken",1,118000,DEBIT
DOM-VAR-202502-0134,"2025-02-26 21:19:00",Americano,1,52000,QRIS
DOM-VAR-202502-0134,"2025-02-26 21:19:00","Candy Cane",3,306000,QRIS
DOM-VAR-202502-0135,"2025-02-26 11:54:00","Lemon Tea",1,66000,CASH
DOM-VAR-202502-0135,"2025-02-26 11:54:00","Lychee Tea",1,66000,CASH
DOM-VAR-202502-0136,"2025-02-15 10:42:00","Bang Nana Yoghurt",1,104000,CASH
DOM-VAR-202502-0137,"2025-02-12 13:16:00","Churro Bites",1,66000,CASH
DOM-VAR-202502-0137,"2025-02-12 13:16:00","Kampoeng Fried Rice",2,168000,CASH
DOM-VAR-202502-0138,"2025-02-08 20:54:00","Mr. P! Nuts",3,306000,CASH
DOM-VAR-202502-0138,"2025-02-08 20:54:00","Cheese Croquette Balls",3,198000,CASH
DOM-VAR-202502-0139,"2025-02-02 21:16:00","Mayo Karaage Rice",3,312000,QRIS
DOM-VAR-202502-0139,"2025-02-02 21:16:00","Sunset Sangria",1,82000,QRIS
DOM-VAR-202502-0140,"2025-02-18 21:02:00","Hazelnut Latte",3,252000,QRIS
DOM-VAR-202502-0140,"2025-02-18 21:02:00","Caramel Latte",3,252000,QRIS
DOM-VAR-202502-0141,"2025-02-08 14:25:00","Mayo Karaage Rice",2,208000,DEBIT
DOM-VAR-202502-0141,"2025-02-08 14:25:00","French Fries & Sausage",2,132000,DEBIT
DOM-VAR-202502-0142,"2025-02-21 10:58:00","Scottish Latte",3,252000,DEBIT
DOM-VAR-202502-0143,"2025-02-16 21:21:00","Spaghetti Bolognese",2,168000,DEBIT
DOM-VAR-202502-0143,"2025-02-16 21:21:00","Espresso On The Rock",2,132000,DEBIT
DOM-VAR-202502-0144,"2025-02-27 21:06:00","Kopi Latte",3,198000,CASH
DOM-VAR-202502-0144,"2025-02-27 21:06:00","Kampoeng Fried Rice",3,252000,CASH
DOM-VAR-202502-0145,"2025-02-21 21:13:00","Salted Caramel Macchiato",1,96000,QRIS
DOM-VAR-202502-0146,"2025-02-20 20:34:00","Double Shaken Espresso",3,228000,CASH
DOM-VAR-202502-0146,"2025-02-20 20:34:00","Kampoeng Fried Rice",1,84000,CASH
DOM-VAR-202502-0147,"2025-02-20 11:30:00","Candy Cane",3,306000,CASH
DOM-VAR-202502-0148,"2025-02-22 09:03:00","Red Velvet",3,222000,DEBIT
DOM-VAR-202502-0148,"2025-02-22 09:03:00","Matcha Green Tea",3,300000,DEBIT
DOM-VAR-202502-0149,"2025-02-11 16:12:00","Cheese Croquette Balls",3,198000,DEBIT
DOM-VAR-202502-0150,"2025-02-08 19:28:00",Americano,3,156000,QRIS
DOM-VAR-202502-0150,"2025-02-08 19:28:00","Chick N' Matah Rice",3,276000,QRIS
DOM-VAR-202502-0151,"2025-02-18 17:46:00","Scottish Latte",2,168000,QRIS
DOM-VAR-202502-0152,"2025-02-14 18:00:00","Lemon Tea",1,66000,QRIS
DOM-VAR-202502-0153,"2025-02-19 12:02:00","Red Velvet",1,74000,DEBIT
DOM-VAR-202502-0153,"2025-02-19 12:02:00","Red Velvet",2,148000,DEBIT
DOM-VAR-202502-0154,"2025-02-14 09:18:00","Sub's Choice",1,92000,QRIS
DOM-VAR-202502-0155,"2025-02-20 20:39:00","Berry Berry Good!",2,200000,CASH
DOM-VAR-202502-0156,"2025-02-03 13:46:00","Sub's Choice",1,92000,QRIS
DOM-VAR-202502-0157,"2025-02-09 21:54:00",Saltovino,1,88000,DEBIT
DOM-VAR-202502-0157,"2025-02-09 21:54:00","Choco Loco",2,168000,DEBIT
DOM-VAR-202502-0158,"2025-02-22 10:09:00","Roti Bakar",3,156000,DEBIT
DOM-VAR-202502-0158,"2025-02-22 10:09:00","Kopi Latte",2,132000,DEBIT
DOM-VAR-202502-0159,"2025-02-10 17:19:00","Choco Loco",1,84000,QRIS
DOM-VAR-202502-0159,"2025-02-10 17:19:00","DOMS Wings",2,156000,QRIS
DOM-VAR-202502-0160,"2025-02-07 15:10:00","Roti Bakar",3,156000,DEBIT
DOM-VAR-202502-0160,"2025-02-07 15:10:00","Churro Bites",1,66000,DEBIT
DOM-VAR-202502-0161,"2025-02-09 17:37:00","Strawberry Tea",2,132000,QRIS
DOM-VAR-202502-0162,"2025-02-10 14:40:00","Oriental Fried Rice",1,84000,QRIS
DOM-VAR-202502-0163,"2025-02-04 10:06:00","Spaghetti Carbonara",2,184000,DEBIT
DOM-VAR-202502-0163,"2025-02-04 10:06:00","Spaghetti Bolognese",3,252000,DEBIT
DOM-VAR-202502-0164,"2025-02-11 21:26:00","Sub's Choice",2,184000,CASH
DOM-VAR-202502-0165,"2025-02-23 18:35:00","Red Velvet",1,74000,QRIS
DOM-VAR-202502-0166,"2025-02-08 21:51:00","Churro Bites",2,132000,CASH
DOM-VAR-202502-0166,"2025-02-08 21:51:00","Chick N' Matah Rice",3,276000,CASH
DOM-VAR-202502-0167,"2025-02-11 19:29:00","Lemon Tea",2,132000,DEBIT
DOM-VAR-202502-0168,"2025-02-10 13:22:00","Espresso On The Rock",2,132000,QRIS
DOM-VAR-202502-0168,"2025-02-10 13:22:00","Kampoeng Fried Rice",2,168000,QRIS
DOM-VAR-202502-0169,"2025-02-24 21:37:00","Pisang Gorengnya DOM",2,136000,DEBIT
DOM-VAR-202502-0170,"2025-02-20 13:12:00","Bang Nana Yoghurt",1,104000,QRIS
DOM-VAR-202502-0171,"2025-02-23 12:04:00","Oriental Fried Rice",2,168000,DEBIT
DOM-VAR-202502-0171,"2025-02-23 12:04:00","DOMS Wings",1,78000,DEBIT
DOM-VAR-202502-0172,"2025-02-18 10:26:00","Sunset Sangria",2,164000,QRIS
DOM-VAR-202502-0172,"2025-02-18 10:26:00","Ham Spaghetti Brulee",3,300000,QRIS
DOM-VAR-202502-0173,"2025-02-13 09:53:00","Lemon Tea",1,66000,CASH
DOM-VAR-202502-0173,"2025-02-13 09:53:00","Kopi Latte",1,66000,CASH
DOM-VAR-202502-0174,"2025-02-22 09:45:00","Double Shaken Espresso",2,152000,DEBIT
DOM-VAR-202502-0175,"2025-02-27 21:53:00","Kopi Latte",2,132000,CASH
DOM-VAR-202502-0175,"2025-02-27 21:53:00","Berry Berry Good!",2,200000,CASH
DOM-VAR-202502-0176,"2025-02-13 14:54:00","Salted Caramel Macchiato",1,96000,QRIS
DOM-VAR-202502-0177,"2025-02-21 15:50:00",Saltovino,2,176000,QRIS
DOM-VAR-202502-0177,"2025-02-21 15:50:00",Muppet,3,300000,QRIS
DOM-VAR-202502-0178,"2025-02-26 18:04:00","DOM's Original",3,198000,DEBIT
DOM-VAR-202502-0179,"2025-02-17 17:45:00","Spaghetti Bolognese",2,168000,QRIS
DOM-VAR-202502-0179,"2025-02-17 17:45:00","Berry Berry Good!",3,300000,QRIS
DOM-VAR-202502-0180,"2025-02-13 21:00:00",Muppet,2,200000,QRIS
DOM-VAR-202502-0180,"2025-02-13 21:00:00","Spaghetti Carbonara",2,184000,QRIS
DOM-VAR-202502-0181,"2025-02-06 19:58:00","Bang Nana Yoghurt",3,312000,QRIS
DOM-VAR-202502-0182,"2025-02-07 12:30:00","Pisang Gorengnya DOM",3,204000,QRIS
DOM-VAR-202502-0183,"2025-02-24 17:49:00","Roti Bakar",1,52000,DEBIT
DOM-VAR-202502-0183,"2025-02-24 17:49:00","Bloody Mary",3,246000,DEBIT
DOM-VAR-202502-0184,"2025-02-20 13:47:00","Kampoeng Fried Rice",3,252000,DEBIT
DOM-VAR-202502-0185,"2025-02-12 12:02:00","DOMS Wings",1,78000,CASH
DOM-VAR-202502-0185,"2025-02-12 12:02:00","Kopi Latte",1,66000,CASH
DOM-VAR-202502-0186,"2025-02-08 15:58:00","Hazelnut Latte",1,84000,QRIS
DOM-VAR-202502-0186,"2025-02-08 15:58:00","Matcha Green Tea",3,300000,QRIS
DOM-VAR-202502-0187,"2025-02-11 18:27:00","Spaghetti Bolognese",3,252000,QRIS
