receipt_no,trx_date,product_name,qty,subtotal
TRX-20260610-0017,"2026-03-19 01:21:04","Zafeer Milktea",2,56000
TRX-20260610-0017,"2026-03-19 01:21:04","Kopi Susu DOM",3,75000
TRX-20260610-0017,"2026-03-19 01:21:04","Kopi Susu DOM",3,75000
TRX-20260610-0018,"2026-01-07 10:50:11","Kopi Susu DOM",3,75000
TRX-20260610-0018,"2026-01-07 10:50:11","Matcha Latte",3,90000
TRX-20260610-0019,"2026-03-16 15:58:14",Americano,4,80000
TRX-20260610-0019,"2026-03-16 15:58:14","Matcha Latte",2,60000
TRX-20260610-0019,"2026-03-16 15:58:14","Caramel Macchiato",4,128000
TRX-20260610-0019,"2026-03-16 15:58:14","Spaghetti Aglio Olio",3,135000
TRX-20260610-0020,"2026-03-24 06:26:59",Americano,4,80000
TRX-20260610-0020,"2026-03-24 06:26:59","Mix Platter",3,105000
TRX-20260610-0020,"2026-03-24 06:26:59","Ayam Chili Padi",1,38000
TRX-20260610-0020,"2026-03-24 06:26:59","Caramel Macchiato",3,96000
TRX-20260610-0020,"2026-03-24 06:26:59","Lychee Tea",1,22000
TRX-20260610-0021,"2026-04-02 00:11:30","Ayam Chili Padi",3,114000
TRX-20260610-0022,"2026-01-09 04:01:55","Mix Platter",1,35000
TRX-20260610-0022,"2026-01-09 04:01:55","Nasi Goreng DOM",1,40000
TRX-20260610-0023,"2026-03-23 14:10:43","Lychee Tea",1,22000
TRX-20260610-0023,"2026-03-23 14:10:43","Mix Platter",1,35000
TRX-20260610-0023,"2026-03-23 14:10:43","Lychee Tea",3,66000
TRX-20260610-0024,"2026-03-14 04:51:13","Ayam Chili Padi",3,114000
TRX-20260610-0024,"2026-03-14 04:51:13","Zafeer Milktea",2,56000
TRX-20260610-0024,"2026-03-14 04:51:13","Caramel Macchiato",4,128000
TRX-20260610-0024,"2026-03-14 04:51:13","Caramel Macchiato",4,128000
TRX-20260610-0024,"2026-03-14 04:51:13","Spaghetti Aglio Olio",2,90000
TRX-20260610-0025,"2026-01-29 23:04:01","Nasi Goreng DOM",4,160000
TRX-20260610-0025,"2026-01-29 23:04:01","French Fries",1,25000
TRX-20260610-0025,"2026-01-29 23:04:01","Spaghetti Aglio Olio",3,135000
TRX-20260610-0025,"2026-01-29 23:04:01","Matcha Latte",2,60000
TRX-20260610-0025,"2026-01-29 23:04:01","Matcha Latte",1,30000
TRX-20260610-0026,"2026-01-26 19:56:37","Matcha Latte",2,60000
TRX-20260610-0026,"2026-01-26 19:56:37",Americano,4,80000
TRX-20260610-0026,"2026-01-26 19:56:37",Americano,3,60000
TRX-20260610-0027,"2026-03-30 12:10:29","Nasi Goreng DOM",1,40000
TRX-20260610-0027,"2026-03-30 12:10:29","Nasi Goreng DOM",2,80000
TRX-20260610-0027,"2026-03-30 12:10:29","French Fries",3,75000
TRX-20260610-0028,"2026-02-02 15:19:53","Ayam Chili Padi",4,152000
TRX-20260610-0029,"2026-04-12 08:00:03","Ayam Chili Padi",2,76000
TRX-20260610-0029,"2026-04-12 08:00:03","Mix Platter",3,105000
TRX-20260610-0029,"2026-04-12 08:00:03",Americano,3,60000
TRX-20260610-0030,"2026-04-10 22:53:15",Americano,2,40000
TRX-20260610-0030,"2026-04-10 22:53:15","Spaghetti Aglio Olio",2,90000
TRX-20260610-0030,"2026-04-10 22:53:15","French Fries",4,100000
TRX-20260610-0031,"2026-01-30 17:12:14","Matcha Latte",3,90000
TRX-20260610-0031,"2026-01-30 17:12:14","Spaghetti Aglio Olio",1,45000
TRX-20260610-0031,"2026-01-30 17:12:14","Kopi Susu DOM",4,100000
TRX-20260610-0031,"2026-01-30 17:12:14","Zafeer Milktea",3,84000
TRX-20260610-0031,"2026-01-30 17:12:14","Nasi Goreng DOM",2,80000
TRX-20260610-0032,"2026-01-06 06:05:57","French Fries",3,75000
TRX-20260610-0032,"2026-01-06 06:05:57","Lychee Tea",2,44000
TRX-20260610-0032,"2026-01-06 06:05:57","Ayam Chili Padi",1,38000
TRX-20260610-0033,"2026-06-04 16:04:56","Spaghetti Aglio Olio",1,45000
TRX-20260610-0033,"2026-06-04 16:04:56","Kopi Susu DOM",3,75000
TRX-20260610-0033,"2026-06-04 16:04:56",Americano,1,20000
TRX-20260610-0033,"2026-06-04 16:04:56","Zafeer Milktea",2,56000
TRX-20260610-0034,"2026-06-04 14:27:15","Ayam Chili Padi",4,152000
TRX-20260610-0034,"2026-06-04 14:27:15","Spaghetti Aglio Olio",2,90000
TRX-20260610-0035,"2026-01-23 12:03:48","Caramel Macchiato",1,32000
TRX-20260610-0036,"2026-01-10 07:43:54","Caramel Macchiato",1,32000
TRX-20260610-0037,"2026-03-17 00:01:12","Matcha Latte",4,120000
TRX-20260610-0038,"2026-02-21 13:17:23","Matcha Latte",2,60000
TRX-20260610-0039,"2026-01-15 01:50:52","Matcha Latte",1,30000
TRX-20260610-0040,"2026-04-20 00:00:20","Caramel Macchiato",4,128000
TRX-20260610-0040,"2026-04-20 00:00:20","Spaghetti Aglio Olio",3,135000
TRX-20260610-0041,"2026-01-07 20:26:36","Spaghetti Aglio Olio",4,180000
TRX-20260610-0041,"2026-01-07 20:26:36","Ayam Chili Padi",1,38000
TRX-20260610-0041,"2026-01-07 20:26:36","Spaghetti Aglio Olio",3,135000
TRX-20260610-0042,"2026-06-09 12:00:38","Ayam Chili Padi",4,152000
TRX-20260610-0042,"2026-06-09 12:00:38","Zafeer Milktea",1,28000
TRX-20260610-0042,"2026-06-09 12:00:38",Americano,1,20000
TRX-20260610-0042,"2026-06-09 12:00:38","Caramel Macchiato",3,96000
TRX-20260610-0042,"2026-06-09 12:00:38","Caramel Macchiato",4,128000
TRX-20260610-0043,"2026-02-20 15:48:20","Caramel Macchiato",2,64000
TRX-20260610-0044,"2026-02-22 08:15:27","Caramel Macchiato",2,64000
TRX-20260610-0044,"2026-02-22 08:15:27","Kopi Susu DOM",2,50000
TRX-20260610-0045,"2026-02-28 21:26:57","Ayam Chili Padi",2,76000
TRX-20260610-0045,"2026-02-28 21:26:57",Americano,1,20000
TRX-20260610-0045,"2026-02-28 21:26:57","Nasi Goreng DOM",2,80000
TRX-20260610-0046,"2026-01-18 15:36:46","Caramel Macchiato",1,32000
TRX-20260610-0046,"2026-01-18 15:36:46","Spaghetti Aglio Olio",3,135000
TRX-20260610-0046,"2026-01-18 15:36:46","Mix Platter",2,70000
TRX-20260610-0047,"2026-04-16 03:18:13","Matcha Latte",3,90000
TRX-20260610-0047,"2026-04-16 03:18:13","Nasi Goreng DOM",2,80000
TRX-20260610-0047,"2026-04-16 03:18:13","Spaghetti Aglio Olio",4,180000
TRX-20260610-0047,"2026-04-16 03:18:13","Caramel Macchiato",2,64000
TRX-20260610-0048,"2026-01-25 22:14:39","Zafeer Milktea",2,56000
TRX-20260610-0049,"2026-05-27 03:16:36","Matcha Latte",3,90000
TRX-20260610-0049,"2026-05-27 03:16:36","Matcha Latte",1,30000
TRX-20260610-0049,"2026-05-27 03:16:36","Lychee Tea",1,22000
TRX-20260610-0049,"2026-05-27 03:16:36","Nasi Goreng DOM",3,120000
TRX-20260610-0049,"2026-05-27 03:16:36","Ayam Chili Padi",2,76000
TRX-20260610-0050,"2026-02-12 23:52:43","Lychee Tea",3,66000
TRX-20260610-0050,"2026-02-12 23:52:43","Nasi Goreng DOM",4,160000
TRX-20260610-0050,"2026-02-12 23:52:43","Matcha Latte",3,90000
TRX-20260610-0050,"2026-02-12 23:52:43","Zafeer Milktea",1,28000
TRX-20260610-0050,"2026-02-12 23:52:43","French Fries",2,50000
TRX-20260610-0051,"2026-06-02 22:06:35","Spaghetti Aglio Olio",1,45000
TRX-20260610-0052,"2026-05-23 18:03:56","Ayam Chili Padi",1,38000
TRX-20260610-0052,"2026-05-23 18:03:56","Spaghetti Aglio Olio",1,45000
TRX-20260610-0052,"2026-05-23 18:03:56",Americano,2,40000
TRX-20260610-0052,"2026-05-23 18:03:56","Caramel Macchiato",4,128000
TRX-20260610-0052,"2026-05-23 18:03:56","Matcha Latte",3,90000
TRX-20260610-0053,"2026-03-14 02:08:04","Caramel Macchiato",4,128000
TRX-20260610-0053,"2026-03-14 02:08:04","Caramel Macchiato",2,64000
TRX-20260610-0053,"2026-03-14 02:08:04","Mix Platter",4,140000
TRX-20260610-0053,"2026-03-14 02:08:04","Kopi Susu DOM",2,50000
TRX-20260610-0054,"2026-03-05 20:35:20","Ayam Chili Padi",2,76000
TRX-20260610-0054,"2026-03-05 20:35:20","Matcha Latte",4,120000
TRX-20260610-0054,"2026-03-05 20:35:20","Caramel Macchiato",2,64000
TRX-20260610-0054,"2026-03-05 20:35:20",Americano,1,20000
TRX-20260610-0055,"2026-02-12 08:57:46","Zafeer Milktea",1,28000
TRX-20260610-0055,"2026-02-12 08:57:46","Spaghetti Aglio Olio",3,135000
TRX-20260610-0055,"2026-02-12 08:57:46","Lychee Tea",4,88000
TRX-20260610-0056,"2026-01-01 03:55:00","Matcha Latte",2,60000
TRX-20260610-0057,"2026-03-20 20:22:35","Caramel Macchiato",1,32000
TRX-20260610-0057,"2026-03-20 20:22:35","Nasi Goreng DOM",4,160000
TRX-20260610-0058,"2026-04-16 00:00:27",Americano,4,80000
TRX-20260610-0058,"2026-04-16 00:00:27","Caramel Macchiato",4,128000
TRX-20260610-0059,"2026-05-22 01:18:10","Zafeer Milktea",3,84000
TRX-20260610-0059,"2026-05-22 01:18:10","Kopi Susu DOM",1,25000
TRX-20260610-0059,"2026-05-22 01:18:10","Zafeer Milktea",1,28000
TRX-20260610-0059,"2026-05-22 01:18:10","Nasi Goreng DOM",2,80000
TRX-20260610-0060,"2026-05-01 09:10:14","Ayam Chili Padi",4,152000
TRX-20260610-0060,"2026-05-01 09:10:14","Caramel Macchiato",2,64000
TRX-20260610-0060,"2026-05-01 09:10:14","Mix Platter",2,70000
TRX-20260610-0060,"2026-05-01 09:10:14","Zafeer Milktea",2,56000
TRX-20260610-0060,"2026-05-01 09:10:14","Lychee Tea",1,22000
TRX-20260610-0061,"2026-03-22 04:55:44","Zafeer Milktea",4,112000
TRX-20260610-0062,"2026-05-13 01:44:17","Mix Platter",4,140000
TRX-20260610-0062,"2026-05-13 01:44:17","Matcha Latte",4,120000
TRX-20260610-0062,"2026-05-13 01:44:17","Kopi Susu DOM",4,100000
TRX-20260610-0062,"2026-05-13 01:44:17",Americano,3,60000
TRX-20260610-0063,"2026-04-10 10:21:37","Matcha Latte",1,30000
TRX-20260610-0063,"2026-04-10 10:21:37","French Fries",2,50000
TRX-20260610-0063,"2026-04-10 10:21:37","Zafeer Milktea",1,28000
TRX-20260610-0063,"2026-04-10 10:21:37","Zafeer Milktea",4,112000
TRX-20260610-0064,"2026-01-22 09:00:00","Mix Platter",3,105000
TRX-20260610-0065,"2026-03-18 00:15:17","Kopi Susu DOM",2,50000
TRX-20260610-0066,"2026-03-17 17:14:18","Zafeer Milktea",3,84000
TRX-20260610-0066,"2026-03-17 17:14:18","Spaghetti Aglio Olio",4,180000
TRX-20260610-0066,"2026-03-17 17:14:18","Spaghetti Aglio Olio",1,45000
TRX-20260610-0066,"2026-03-17 17:14:18","Lychee Tea",4,88000
TRX-20260610-0066,"2026-03-17 17:14:18","Kopi Susu DOM",2,50000
TRX-20260610-0067,"2026-03-17 06:30:03","Caramel Macchiato",2,64000
TRX-20260610-0067,"2026-03-17 06:30:03",Americano,2,40000
TRX-20260610-0067,"2026-03-17 06:30:03","Lychee Tea",1,22000
TRX-20260610-0067,"2026-03-17 06:30:03","Lychee Tea",1,22000
TRX-20260610-0068,"2026-04-06 14:08:53","Matcha Latte",1,30000
TRX-20260610-0069,"2026-03-13 03:29:35","Nasi Goreng DOM",4,160000
TRX-20260610-0070,"2026-03-19 02:19:16","French Fries",1,25000
TRX-20260610-0070,"2026-03-19 02:19:16","Mix Platter",1,35000
TRX-20260610-0071,"2026-01-07 18:08:44","Nasi Goreng DOM",3,120000
TRX-20260610-0071,"2026-01-07 18:08:44","Lychee Tea",4,88000
TRX-20260610-0071,"2026-01-07 18:08:44","Ayam Chili Padi",3,114000
TRX-20260610-0072,"2026-02-04 07:41:16","Mix Platter",1,35000
TRX-20260610-0072,"2026-02-04 07:41:16","Mix Platter",3,105000
TRX-20260610-0072,"2026-02-04 07:41:16","Spaghetti Aglio Olio",1,45000
TRX-20260610-0073,"2026-01-09 04:15:06","Spaghetti Aglio Olio",4,180000
TRX-20260610-0073,"2026-01-09 04:15:06","Mix Platter",1,35000
TRX-20260610-0073,"2026-01-09 04:15:06","Caramel Macchiato",1,32000
TRX-20260610-0073,"2026-01-09 04:15:06","Ayam Chili Padi",4,152000
TRX-20260610-0074,"2026-01-04 16:40:08","Kopi Susu DOM",4,100000
TRX-20260610-0074,"2026-01-04 16:40:08","Kopi Susu DOM",1,25000
TRX-20260610-0074,"2026-01-04 16:40:08","Spaghetti Aglio Olio",2,90000
TRX-20260610-0075,"2026-02-26 10:28:33","Mix Platter",4,140000
TRX-20260610-0075,"2026-02-26 10:28:33",Americano,1,20000
TRX-20260610-0075,"2026-02-26 10:28:33","French Fries",2,50000
TRX-20260610-0075,"2026-02-26 10:28:33","Lychee Tea",2,44000
TRX-20260610-0075,"2026-02-26 10:28:33","Lychee Tea",1,22000
TRX-20260610-0076,"2026-02-01 21:27:32","Zafeer Milktea",1,28000
TRX-20260610-0076,"2026-02-01 21:27:32","French Fries",4,100000
TRX-20260610-0076,"2026-02-01 21:27:32","Matcha Latte",1,30000
TRX-20260610-0076,"2026-02-01 21:27:32","Kopi Susu DOM",2,50000
TRX-20260610-0076,"2026-02-01 21:27:32","Spaghetti Aglio Olio",2,90000
TRX-20260610-0077,"2026-03-15 04:03:21","Caramel Macchiato",3,96000
TRX-20260610-0077,"2026-03-15 04:03:21","Spaghetti Aglio Olio",3,135000
TRX-20260610-0078,"2026-04-30 05:30:20","Kopi Susu DOM",1,25000
TRX-20260610-0078,"2026-04-30 05:30:20","Nasi Goreng DOM",2,80000
TRX-20260610-0078,"2026-04-30 05:30:20","Mix Platter",3,105000
TRX-20260610-0078,"2026-04-30 05:30:20","Ayam Chili Padi",4,152000
TRX-20260610-0079,"2026-04-23 15:12:30","Lychee Tea",4,88000
TRX-20260610-0079,"2026-04-23 15:12:30","Zafeer Milktea",1,28000
TRX-20260610-0080,"2026-03-01 13:57:47","Matcha Latte",3,90000
TRX-20260610-0080,"2026-03-01 13:57:47","Nasi Goreng DOM",4,160000
TRX-20260610-0080,"2026-03-01 13:57:47","Nasi Goreng DOM",1,40000
TRX-20260610-0081,"2026-03-14 13:05:04","Lychee Tea",1,22000
TRX-20260610-0081,"2026-03-14 13:05:04","Zafeer Milktea",4,112000
TRX-20260610-0082,"2026-02-23 02:07:16","Matcha Latte",1,30000
TRX-20260610-0083,"2026-05-10 03:34:19","French Fries",2,50000
TRX-20260610-0083,"2026-05-10 03:34:19","Ayam Chili Padi",4,152000
TRX-20260610-0084,"2026-03-05 11:09:39","Lychee Tea",2,44000
TRX-20260610-0084,"2026-03-05 11:09:39","Spaghetti Aglio Olio",3,135000
TRX-20260610-0084,"2026-03-05 11:09:39","Caramel Macchiato",3,96000
TRX-20260610-0084,"2026-03-05 11:09:39","Spaghetti Aglio Olio",3,135000
TRX-20260610-0084,"2026-03-05 11:09:39","Mix Platter",1,35000
TRX-20260610-0085,"2026-01-24 23:16:23","French Fries",3,75000
TRX-20260610-0085,"2026-01-24 23:16:23","Kopi Susu DOM",3,75000
TRX-20260610-0085,"2026-01-24 23:16:23","Mix Platter",4,140000
TRX-20260610-0086,"2026-06-08 12:28:13","Lychee Tea",2,44000
TRX-20260610-0086,"2026-06-08 12:28:13","Nasi Goreng DOM",1,40000
TRX-20260610-0086,"2026-06-08 12:28:13",Americano,4,80000
TRX-20260610-0086,"2026-06-08 12:28:13",Americano,3,60000
TRX-20260610-0087,"2026-03-30 02:34:57","Zafeer Milktea",3,84000
TRX-20260610-0088,"2026-02-19 06:15:53",Americano,4,80000
TRX-20260610-0088,"2026-02-19 06:15:53","French Fries",4,100000
TRX-20260610-0089,"2026-02-12 17:27:49","French Fries",3,75000
TRX-20260610-0090,"2026-02-08 20:44:08","Lychee Tea",2,44000
TRX-20260610-0090,"2026-02-08 20:44:08","Nasi Goreng DOM",3,120000
TRX-20260610-0090,"2026-02-08 20:44:08","Lychee Tea",1,22000
TRX-20260610-0090,"2026-02-08 20:44:08",Americano,3,60000
TRX-20260610-0090,"2026-02-08 20:44:08",Americano,2,40000
TRX-20260610-0091,"2026-05-02 18:52:49","Matcha Latte",1,30000
TRX-20260610-0092,"2026-04-12 08:20:40","Caramel Macchiato",2,64000
TRX-20260610-0092,"2026-04-12 08:20:40",Americano,2,40000
TRX-20260610-0093,"2026-04-21 09:38:39","Nasi Goreng DOM",4,160000
TRX-20260610-0093,"2026-04-21 09:38:39","Spaghetti Aglio Olio",3,135000
TRX-20260610-0093,"2026-04-21 09:38:39","French Fries",1,25000
TRX-20260610-0093,"2026-04-21 09:38:39","Lychee Tea",3,66000
TRX-20260610-0094,"2026-02-19 19:40:01","Ayam Chili Padi",1,38000
TRX-20260610-0094,"2026-02-19 19:40:01","French Fries",4,100000
TRX-20260610-0094,"2026-02-19 19:40:01","French Fries",1,25000
TRX-20260610-0094,"2026-02-19 19:40:01","Zafeer Milktea",3,84000
TRX-20260610-0094,"2026-02-19 19:40:01","Zafeer Milktea",2,56000
TRX-20260610-0095,"2026-05-19 03:16:54","Caramel Macchiato",2,64000
TRX-20260610-0095,"2026-05-19 03:16:54",Americano,4,80000
TRX-20260610-0095,"2026-05-19 03:16:54","Nasi Goreng DOM",1,40000
TRX-20260610-0095,"2026-05-19 03:16:54","Ayam Chili Padi",2,76000
TRX-20260610-0096,"2026-05-30 20:46:08","Zafeer Milktea",4,112000
TRX-20260610-0096,"2026-05-30 20:46:08","Ayam Chili Padi",4,152000
TRX-20260610-0097,"2026-02-16 09:14:48",Americano,3,60000
TRX-20260610-0097,"2026-02-16 09:14:48","Lychee Tea",2,44000
TRX-20260610-0097,"2026-02-16 09:14:48","Lychee Tea",1,22000
TRX-20260610-0098,"2026-01-17 03:42:22","Nasi Goreng DOM",1,40000
TRX-20260610-0098,"2026-01-17 03:42:22","Kopi Susu DOM",3,75000
TRX-20260610-0098,"2026-01-17 03:42:22","Ayam Chili Padi",4,152000
TRX-20260610-0098,"2026-01-17 03:42:22","Ayam Chili Padi",4,152000
TRX-20260610-0098,"2026-01-17 03:42:22","Ayam Chili Padi",2,76000
TRX-20260610-0099,"2026-01-13 09:15:50","Caramel Macchiato",1,32000
TRX-20260610-0100,"2026-02-11 02:33:51","Nasi Goreng DOM",3,120000
TRX-20260610-0100,"2026-02-11 02:33:51",Americano,4,80000
TRX-20260610-0100,"2026-02-11 02:33:51","Ayam Chili Padi",3,114000
TRX-20260610-0101,"2026-06-06 06:20:16","Nasi Goreng DOM",3,120000
TRX-20260610-0102,"2026-05-24 09:32:46","French Fries",4,100000
TRX-20260610-0102,"2026-05-24 09:32:46","Lychee Tea",3,66000
TRX-20260610-0102,"2026-05-24 09:32:46",Americano,4,80000
TRX-20260610-0102,"2026-05-24 09:32:46","Kopi Susu DOM",2,50000
TRX-20260610-0102,"2026-05-24 09:32:46","Caramel Macchiato",3,96000
TRX-20260610-0103,"2026-03-10 06:56:30","Lychee Tea",1,22000
TRX-20260610-0103,"2026-03-10 06:56:30","Spaghetti Aglio Olio",2,90000
TRX-20260610-0103,"2026-03-10 06:56:30","Ayam Chili Padi",1,38000
TRX-20260610-0103,"2026-03-10 06:56:30","Lychee Tea",1,22000
TRX-20260610-0103,"2026-03-10 06:56:30","Mix Platter",2,70000
TRX-20260610-0104,"2026-02-09 21:12:43","Matcha Latte",3,90000
TRX-20260610-0105,"2026-04-09 21:01:54","Caramel Macchiato",2,64000
TRX-20260610-0105,"2026-04-09 21:01:54","Mix Platter",4,140000
TRX-20260610-0105,"2026-04-09 21:01:54","Matcha Latte",2,60000
TRX-20260610-0105,"2026-04-09 21:01:54","Caramel Macchiato",4,128000
TRX-20260610-0105,"2026-04-09 21:01:54","Caramel Macchiato",1,32000
TRX-20260610-0106,"2026-03-27 22:44:10","Nasi Goreng DOM",1,40000
TRX-20260610-0106,"2026-03-27 22:44:10",Americano,3,60000
TRX-20260610-0107,"2026-01-24 22:55:05","Ayam Chili Padi",2,76000
TRX-20260610-0107,"2026-01-24 22:55:05","Caramel Macchiato",2,64000
TRX-20260610-0108,"2026-03-10 03:10:24","Ayam Chili Padi",2,76000
TRX-20260610-0108,"2026-03-10 03:10:24","Kopi Susu DOM",4,100000
TRX-20260610-0109,"2026-01-02 19:27:21","Spaghetti Aglio Olio",1,45000
TRX-20260610-0110,"2026-05-17 11:44:47","French Fries",2,50000
TRX-20260610-0110,"2026-05-17 11:44:47","Spaghetti Aglio Olio",1,45000
TRX-20260610-0110,"2026-05-17 11:44:47",Americano,2,40000
TRX-20260610-0110,"2026-05-17 11:44:47",Americano,2,40000
TRX-20260610-0111,"2026-03-21 13:54:21","Lychee Tea",2,44000
TRX-20260610-0112,"2026-03-21 05:04:44","French Fries",3,75000
TRX-20260610-0112,"2026-03-21 05:04:44","Spaghetti Aglio Olio",1,45000
TRX-20260610-0112,"2026-03-21 05:04:44","Ayam Chili Padi",1,38000
TRX-20260610-0112,"2026-03-21 05:04:44","Zafeer Milktea",4,112000
TRX-20260610-0113,"2026-05-04 02:08:23","Caramel Macchiato",4,128000
TRX-20260610-0113,"2026-05-04 02:08:23","Caramel Macchiato",1,32000
TRX-20260610-0113,"2026-05-04 02:08:23","Spaghetti Aglio Olio",4,180000
TRX-20260610-0113,"2026-05-04 02:08:23","Zafeer Milktea",1,28000
TRX-20260610-0113,"2026-05-04 02:08:23","Spaghetti Aglio Olio",4,180000
TRX-20260610-0114,"2026-01-28 19:04:24","Zafeer Milktea",3,84000
TRX-20260610-0115,"2026-05-22 00:54:39","Caramel Macchiato",3,96000
TRX-20260610-0115,"2026-05-22 00:54:39","French Fries",4,100000
TRX-20260610-0115,"2026-05-22 00:54:39","Kopi Susu DOM",1,25000
TRX-20260610-0115,"2026-05-22 00:54:39","Lychee Tea",1,22000
TRX-20260610-0115,"2026-05-22 00:54:39","Spaghetti Aglio Olio",1,45000
TRX-20260610-0116,"2026-03-26 13:04:44","Spaghetti Aglio Olio",4,180000
TRX-20260610-0116,"2026-03-26 13:04:44",Americano,4,80000
TRX-20260610-0116,"2026-03-26 13:04:44","Mix Platter",4,140000
TRX-20260610-0116,"2026-03-26 13:04:44","Ayam Chili Padi",1,38000
TRX-20260610-0117,"2026-04-19 05:56:40","Spaghetti Aglio Olio",4,180000
TRX-20260610-0117,"2026-04-19 05:56:40","Spaghetti Aglio Olio",4,180000
TRX-20260610-0117,"2026-04-19 05:56:40","French Fries",1,25000
TRX-20260610-0118,"2026-02-09 21:39:27","Kopi Susu DOM",2,50000
TRX-20260610-0118,"2026-02-09 21:39:27","Matcha Latte",2,60000
TRX-20260610-0118,"2026-02-09 21:39:27","Lychee Tea",4,88000
TRX-20260610-0118,"2026-02-09 21:39:27","Zafeer Milktea",4,112000
TRX-20260610-0119,"2026-06-09 13:19:54","Ayam Chili Padi",2,76000
TRX-20260610-0119,"2026-06-09 13:19:54","Spaghetti Aglio Olio",3,135000
TRX-20260610-0119,"2026-06-09 13:19:54","Zafeer Milktea",2,56000
TRX-20260610-0119,"2026-06-09 13:19:54","Mix Platter",4,140000
TRX-20260610-0119,"2026-06-09 13:19:54","Ayam Chili Padi",3,114000
TRX-20260610-0120,"2026-05-04 00:29:08","Matcha Latte",4,120000
TRX-20260610-0120,"2026-05-04 00:29:08","Lychee Tea",4,88000
TRX-20260610-0120,"2026-05-04 00:29:08","Mix Platter",1,35000
TRX-20260610-0120,"2026-05-04 00:29:08","Zafeer Milktea",1,28000
TRX-20260610-0121,"2026-05-21 00:04:37","Spaghetti Aglio Olio",3,135000
TRX-20260610-0121,"2026-05-21 00:04:37",Americano,3,60000
TRX-20260610-0121,"2026-05-21 00:04:37","Caramel Macchiato",2,64000
TRX-20260610-0122,"2026-04-08 05:52:41","French Fries",4,100000
